#Time	 Transmitted Flux
0	3.0399e-32
1	4.09252e-32
2	6.21683e-32
3	4.68362e-32
4	9.28245e-32
5	-3.08074e-30
6	1.83874e-28
7	1.59955e-25
8	1.15632e-23
9	1.47436e-22
10	1.39565e-21
11	1.23166e-20
12	6.98336e-20
13	1.12377e-19
14	7.88097e-19
15	2.94328e-18
16	3.92381e-18
17	2.35961e-17
18	4.81961e-17
19	7.91836e-17
20	3.39689e-16
21	1.97906e-16
22	8.86919e-16
23	9.81781e-16
24	3.51935e-15
25	1.93977e-15
26	2.20006e-15
27	9.06235e-15
28	1.87541e-15
29	3.83006e-15
30	1.08968e-14
31	1.43609e-14
32	1.00221e-15
33	1.52687e-14
34	3.052e-14
35	1.24969e-14
36	2.03675e-14
37	6.89786e-14
38	1.61024e-13
39	1.69248e-13
40	8.55927e-14
41	1.83619e-13
42	4.6276e-14
43	1.58304e-13
44	1.37603e-13
45	9.93387e-15
46	9.87553e-14
47	3.23993e-13
48	5.7293e-13
49	9.21153e-13
50	1.19382e-12
51	1.55874e-12
52	2.58278e-12
53	4.16008e-12
54	5.72402e-12
55	6.69138e-12
56	5.99213e-12
57	5.3783e-12
58	7.58586e-12
59	1.09715e-11
60	1.05109e-11
61	1.02672e-11
62	1.48195e-11
63	1.38979e-11
64	1.59404e-11
65	2.13483e-11
66	2.00221e-11
67	2.9264e-11
68	2.76087e-11
69	3.73065e-11
70	3.65943e-11
71	4.60017e-11
72	4.43406e-11
73	5.62722e-11
74	5.09416e-11
75	6.44206e-11
76	6.15979e-11
77	6.794e-11
78	7.4829e-11
79	7.20348e-11
80	8.73968e-11
81	8.25771e-11
82	8.99958e-11
83	1.06748e-10
84	9.81835e-11
85	1.10887e-10
86	1.30155e-10
87	1.24054e-10
88	1.3792e-10
89	1.6213e-10
90	1.59045e-10
91	1.70247e-10
92	2.07796e-10
93	2.17083e-10
94	2.10807e-10
95	2.45845e-10
96	2.94398e-10
97	3.01094e-10
98	2.99666e-10
99	3.45049e-10
100	4.05219e-10
101	4.24221e-10
102	4.28373e-10
103	4.78953e-10
104	5.61979e-10
105	6.08804e-10
106	6.10018e-10
107	6.36669e-10
108	7.36374e-10
109	8.6059e-10
110	9.27387e-10
111	9.30634e-10
112	9.5143e-10
113	1.06005e-09
114	1.2328e-09
115	1.37979e-09
116	1.4459e-09
117	1.47107e-09
118	1.54708e-09
119	1.72321e-09
120	1.95657e-09
121	2.15404e-09
122	2.26056e-09
123	2.31324e-09
124	2.41258e-09
125	2.63891e-09
126	2.98607e-09
127	3.36139e-09
128	3.65186e-09
129	3.8072e-09
130	3.87737e-09
131	3.98463e-09
132	4.24681e-09
133	4.70664e-09
134	5.30478e-09
135	5.91448e-09
136	6.41201e-09
137	6.74373e-09
138	6.95567e-09
139	7.16842e-09
140	7.51952e-09
141	8.09651e-09
142	8.89725e-09
143	9.83274e-09
144	1.07687e-08
145	1.15832e-08
146	1.22208e-08
147	1.27184e-08
148	1.3191e-08
149	1.37924e-08
150	1.46565e-08
151	1.58516e-08
152	1.73528e-08
153	1.90502e-08
154	2.07809e-08
155	2.23803e-08
156	2.37322e-08
157	2.48059e-08
158	2.56665e-08
159	2.64625e-08
160	2.73904e-08
161	2.86487e-08
162	3.03907e-08
163	3.26887e-08
164	3.55211e-08
165	3.87723e-08
166	4.22629e-08
167	4.57814e-08
168	4.9133e-08
169	5.21717e-08
170	5.48322e-08
171	5.71406e-08
172	5.9208e-08
173	6.1216e-08
174	6.33856e-08
175	6.59393e-08
176	6.9072e-08
177	7.29204e-08
178	7.75443e-08
179	8.29216e-08
180	8.89503e-08
181	9.54699e-08
182	1.0228e-07
183	1.09173e-07
184	1.1596e-07
185	1.22497e-07
186	1.28702e-07
187	1.34564e-07
188	1.40151e-07
189	1.45595e-07
190	1.51083e-07
191	1.5684e-07
192	1.631e-07
193	1.70092e-07
194	1.78015e-07
195	1.87023e-07
196	1.97208e-07
197	2.08595e-07
198	2.21143e-07
199	2.34745e-07
200	2.49238e-07
201	2.6442e-07
202	2.80063e-07
203	2.9593e-07
204	3.11791e-07
205	3.27449e-07
206	3.4274e-07
207	3.57551e-07
208	3.71827e-07
209	3.85572e-07
210	3.98851e-07
211	4.11782e-07
212	4.24534e-07
213	4.37317e-07
214	4.50374e-07
215	4.63967e-07
216	4.78368e-07
217	4.93844e-07
218	5.10652e-07
219	5.29022e-07
220	5.49156e-07
221	5.71212e-07
222	5.95307e-07
223	6.2151e-07
224	6.49835e-07
225	6.80257e-07
226	7.12698e-07
227	7.47047e-07
228	7.83152e-07
229	8.20838e-07
230	8.59904e-07
231	9.00143e-07
232	9.41338e-07
233	9.83277e-07
234	1.02575e-06
235	1.06856e-06
236	1.11154e-06
237	1.15453e-06
238	1.1974e-06
239	1.24003e-06
240	1.28234e-06
241	1.32428e-06
242	1.36582e-06
243	1.40695e-06
244	1.44769e-06
245	1.48808e-06
246	1.52819e-06
247	1.5681e-06
248	1.60791e-06
249	1.64773e-06
250	1.68769e-06
251	1.72793e-06
252	1.76857e-06
253	1.80976e-06
254	1.85164e-06
255	1.89434e-06
256	1.93798e-06
257	1.98267e-06
258	2.02852e-06
259	2.07562e-06
260	2.12402e-06
261	2.1738e-06
262	2.225e-06
263	2.27763e-06
264	2.33171e-06
265	2.38724e-06
266	2.4442e-06
267	2.50256e-06
268	2.56229e-06
269	2.62335e-06
270	2.68568e-06
271	2.74922e-06
272	2.81391e-06
273	2.87969e-06
274	2.94646e-06
275	3.01417e-06
276	3.08272e-06
277	3.15202e-06
278	3.22199e-06
279	3.29253e-06
280	3.36354e-06
281	3.43492e-06
282	3.50656e-06
283	3.57836e-06
284	3.65021e-06
285	3.72199e-06
286	3.79359e-06
287	3.86491e-06
288	3.93583e-06
289	4.00626e-06
290	4.0761e-06
291	4.14524e-06
292	4.21361e-06
293	4.28111e-06
294	4.34769e-06
295	4.41327e-06
296	4.47781e-06
297	4.54124e-06
298	4.60354e-06
299	4.66467e-06
300	4.7246e-06
301	4.78332e-06
302	4.84082e-06
303	4.89707e-06
304	4.95209e-06
305	5.00585e-06
306	5.05837e-06
307	5.10963e-06
308	5.15962e-06
309	5.20834e-06
310	5.25578e-06
311	5.30192e-06
312	5.34674e-06
313	5.39023e-06
314	5.43235e-06
315	5.47308e-06
316	5.51237e-06
317	5.5502e-06
318	5.58652e-06
319	5.62129e-06
320	5.65446e-06
321	5.68599e-06
322	5.71583e-06
323	5.74394e-06
324	5.77029e-06
325	5.79482e-06
326	5.81751e-06
327	5.83832e-06
328	5.85722e-06
329	5.8742e-06
330	5.88923e-06
331	5.90231e-06
332	5.91344e-06
333	5.92261e-06
334	5.92983e-06
335	5.93511e-06
336	5.93848e-06
337	5.93995e-06
338	5.93955e-06
339	5.93732e-06
340	5.93329e-06
341	5.92751e-06
342	5.92e-06
343	5.91081e-06
344	5.89999e-06
345	5.88758e-06
346	5.87362e-06
347	5.85817e-06
348	5.84126e-06
349	5.82293e-06
350	5.80323e-06
351	5.78219e-06
352	5.75985e-06
353	5.73625e-06
354	5.71142e-06
355	5.68538e-06
356	5.65817e-06
357	5.62982e-06
358	5.60034e-06
359	5.56975e-06
360	5.53809e-06
361	5.50535e-06
362	5.47157e-06
363	5.43676e-06
364	5.40092e-06
365	5.36408e-06
366	5.32625e-06
367	5.28744e-06
368	5.24766e-06
369	5.20694e-06
