#Time	 Transmitted Flux
0	3.0399e-32
1	4.12506e-32
2	5.94765e-32
3	8.88561e-32
4	1.45372e-31
5	-3.01971e-30
6	1.36896e-28
7	2.50093e-25
8	1.5287e-23
9	3.61601e-22
10	2.90929e-21
11	2.19526e-20
12	1.46599e-20
13	1.73909e-19
14	5.83427e-19
15	1.13121e-18
16	2.54978e-18
17	1.91514e-17
18	3.81858e-17
19	6.23149e-17
20	2.85261e-16
21	1.45735e-16
22	7.08167e-16
23	7.46503e-16
24	3.33917e-15
25	2.05454e-15
26	3.37438e-15
27	1.06618e-14
28	3.18513e-15
29	3.53779e-15
30	7.5853e-15
31	9.52865e-15
32	7.48115e-16
33	1.1563e-14
34	2.36227e-14
35	1.00199e-14
36	2.20649e-14
37	7.78455e-14
38	1.64973e-13
39	1.56805e-13
40	8.31504e-14
41	1.83003e-13
42	4.88947e-14
43	1.36245e-13
44	1.4518e-13
45	1.26786e-14
46	6.55704e-14
47	2.64622e-13
48	5.23615e-13
49	9.13402e-13
50	1.24225e-12
51	1.65885e-12
52	2.75873e-12
53	4.42206e-12
54	6.00753e-12
55	7.00333e-12
56	6.39818e-12
57	5.90518e-12
58	8.24484e-12
59	1.1669e-11
60	1.13167e-11
61	1.11685e-11
62	1.57539e-11
63	1.49918e-11
64	1.71138e-11
65	2.26957e-11
66	2.1567e-11
67	3.09511e-11
68	2.96118e-11
69	3.94137e-11
70	3.90382e-11
71	4.85971e-11
72	4.7138e-11
73	5.93516e-11
74	5.40431e-11
75	6.79609e-11
76	6.49142e-11
77	7.19254e-11
78	7.85987e-11
79	7.59501e-11
80	9.20793e-11
81	8.66856e-11
82	9.47043e-11
83	1.12062e-10
84	1.02986e-10
85	1.16596e-10
86	1.36423e-10
87	1.29783e-10
88	1.44865e-10
89	1.70235e-10
90	1.66313e-10
91	1.78138e-10
92	2.18169e-10
93	2.27781e-10
94	2.20552e-10
95	2.57361e-10
96	3.08836e-10
97	3.15788e-10
98	3.13809e-10
99	3.61575e-10
100	4.25308e-10
101	4.45096e-10
102	4.48594e-10
103	5.01596e-10
104	5.90038e-10
105	6.40289e-10
106	6.40769e-10
107	6.66781e-10
108	7.70899e-10
109	9.03312e-10
110	9.76043e-10
111	9.79703e-10
112	9.9894e-10
113	1.11027e-09
114	1.29181e-09
115	1.44925e-09
116	1.52163e-09
117	1.54784e-09
118	1.62419e-09
119	1.80562e-09
120	2.05049e-09
121	2.26141e-09
122	2.37745e-09
123	2.43353e-09
124	2.53367e-09
125	2.76469e-09
126	3.12492e-09
127	3.52066e-09
128	3.83283e-09
129	4.00418e-09
130	4.08137e-09
131	4.18931e-09
132	4.45305e-09
133	4.92299e-09
134	5.54367e-09
135	6.18642e-09
136	6.72072e-09
137	7.08492e-09
138	7.31951e-09
139	7.54465e-09
140	7.90268e-09
141	8.48874e-09
142	9.30804e-09
143	1.02755e-08
144	1.12561e-08
